name,SRR12535998,SRR13613097,SRR9040632,SRR9040658,SRR12536017,SRR12536008,SRR12535993,SRR12536018,SRR9040631,SRR9040650,SRR12535989,SRR13613104,SRR12536007,SRR12536005,SRR12535986,SRR13613101,SRR9040657,SRR12536003,SRR12536006,SRR12535984,SRR9040649,SRR9040644,SRR9040642,SRR13613100,SRR9040647,SRR13613102,SRR12536020,SRR12535997,SRR12535996,SRR13613103,SRR12536009,SRR9040639,SRR9040634,SRR12536012,SRR12536019,SRR12535991,SRR9040637,SRR12536000,SRR9040654,SRR9040653,SRR12535987,SRR12535992,SRR12535999,SRR12536011,SRR9040641,SRR12535985,SRR9040652,SRR9040643,SRR9040646,SRR9040656,SRR12536016,SRR9040630,SRR12536013,SRR12535995,SRR9040659,SRR12536014,SRR9040633,SRR13613099,SRR12536021,SRR12536001,SRR12536004,SRR12535988,SRR9040651,SRR9040638,SRR12535994,SRR12536015,SRR12535990,SRR9040640,SRR12536002,SRR9040648,SRR9040645,SRR9040655,SRR13613098,SRR9040636,SRR13613096,SRR9040635,SRR12536022,SRR12536010
Anaerobutyricum hallii,0.0,0.0,0.00119,0.00075,0.0,0.0,0.0,0.0,0.00108,0.00132,0.0,0.0,0.0,0.0,0.0,0.0,0.00205,0.0,0.0,0.0,0.00116,0.0,0.00033,0.0,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.00229,0.0,0.0,0.0,0.00061,0.00086,0.00171,0.00192,0.0,0.0,0.0,0.0,0.00123,0.0,0.00249,0.00251,0.00137,0.0008,0.0,0.00225,0.0,0.0,0.00161,0.0,0.00192,0.0,0.00046,0.0,0.0,0.0,0.00108,0.0,0.0,0.0,0.0,0.0015,0.0,0.00094,0.00182,0.0,0.0,0.00108,0.0,0.0011,0.00291,0.0
Anaerostipes hadrus,0.0,0.0,0.00139,0.0017,0.0,0.0,0.0,0.0,0.00149,0.00216,0.0,0.0,0.00366,0.0,0.0,0.0,0.00173,0.0,0.0,0.0,0.00182,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.00195,0.0,0.0,0.0,0.00169,0.00172,0.00144,0.00046,0.0,0.0,0.0,0.0,0.00087,0.0,0.00223,0.00258,0.00079,0.00096,0.0,0.00158,0.0,0.0,0.00148,0.0,0.00208,0.0,0.0,0.0,0.0,0.0,0.00183,0.0,0.0,0.0,0.0,0.00161,0.0,0.00131,0.00217,0.0,0.0,0.00154,0.0,0.00151,0.0,0.0
Anaerotruncus colihominis,0.0,0.0,0.0,0.00052,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aneurinibacillus soli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044,0.0,0.0,0.0,0.0
Anoxybacillus amylolyticus,0.0,0.0,0.00219,0.00131,0.0,0.0,0.0,0.0,0.00157,0.00122,0.0,0.0,0.0,0.0,0.0,0.0,0.00132,0.0,0.0,0.0,0.00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00212,0.0,0.0,0.0,0.00129,0.0,0.00129,0.00135,0.0,0.0,0.0,0.0,0.00074,0.0,0.0017,0.00147,0.00103,0.00089,0.0,0.00045,0.0,0.0,0.00182,0.0,0.00117,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,0.00123,0.0,0.00145,0.00196,0.0,0.0,0.00027,0.0,0.00121,0.0,0.0
Aquella oligotrophica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arabiibacter massiliensis,0.00037,0.0,0.0,0.00025,0.00053,0.00039,0.00028,0.00029,0.0,0.0,0.00069,0.0,0.0,0.0,0.00035,0.0,0.0,0.0,0.00057,0.0004,0.0,0.0,0.00046,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.00051,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.0,0.0,0.00064,0.0,0.0,0.00026,0.0,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00054,0.0,0.0,0.0,0.0005,0.00045,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055
Aristaeella hokkaidonensis,0.0,0.0,0.0,0.00106,0.0,0.0,0.0,0.0,0.00094,0.00096,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.00111,0.0,0.0,0.0,0.00085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.00074,0.0,0.00119,0.00173,0.0,0.0,0.0,0.0,0.00072,0.0,0.00103,0.00176,0.00061,0.00084,0.0,0.00081,0.0,0.0,0.00154,0.0,0.00143,0.0,0.0,0.0,0.0,0.0,0.00083,0.0,0.0,0.0,0.0,0.00091,0.0,0.0005,0.00145,0.0,0.0,0.0,0.0,0.00299,0.0,0.0
Arthrobacter sp. NEB 688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avibacterium paragallinarum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacillus amyloliquefaciens,0.0,0.0,0.0,0.00066,0.0,0.0,0.0,0.0,0.0,0.00329,0.0,0.0,0.0,0.0,0.0,0.0,0.00115,0.0,0.0,0.0,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00091,0.0,0.0,0.0,0.00085,0.0,0.00038,0.00164,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.00147,0.00095,0.0,0.0,0.00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149,0.00097,0.0,0.0,0.0,0.0,0.0,0.00082,0.0,0.0,0.0,0.00047,0.0,0.0,0.0,0.0
Bacillus anthracis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0
Bacillus cereus,0.0,0.0,0.0,0.01449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149,0.0,0.0,0.0,0.01495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00831,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.00108,0.0,0.0,0.0,0.0
Bacillus mycoides,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0
Bacillus safensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135,0.0,0.0,0.0,0.0
Bacillus subtilis,0.0,0.0,0.0,0.00131,0.0,0.0,0.0,0.0,0.00419,0.00337,0.0,0.0,0.0,0.0,0.0,0.0,0.00154,0.0,0.0,0.0,0.00152,0.0,0.00546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00218,0.0,0.0,0.0,0.00145,0.0,0.00608,0.001,0.0,0.0,0.0,0.0,0.00121,0.0,0.00083,0.00293,0.00333,0.00613,0.0,0.00387,0.0,0.00064,0.0,0.0,0.00104,0.0,0.00227,0.0,0.0,0.0,0.00645,0.00362,0.0,0.0,0.0,0.0,0.0,0.00296,0.00117,0.0,0.0,0.00171,0.0,0.0,0.0,0.0
Bacillus thuringiensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00382,0.0,0.0,0.0,0.0
